Field,ID,Type,default,en-us,en,ru,ru-ru,kk-kz,de-de,it-it,tg-cyrl-tj,uz-latn-uz,fr-fr
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,,,,,,,,,,
XboxScreenshotCaption1,350,Text,,,,,,,,,,,
XboxScreenshotCaption2,351,Text,,,,,,,,,,,
XboxScreenshotCaption3,352,Text,,,,,,,,,,,
XboxScreenshotCaption4,353,Text,,,,,,,,,,,
XboxScreenshotCaption5,354,Text,,,,,,,,,,,
XboxScreenshotCaption6,355,Text,,,,,,,,,,,
XboxScreenshotCaption7,356,Text,,,,,,,,,,,
XboxScreenshotCaption8,357,Text,,,,,,,,,,,
XboxScreenshotCaption9,358,Text,,,,,,,,,,,
XboxScreenshotCaption10,359,Text,,,,,,,,,,,
XboxScreenshotCaption11,360,Text,,,,,,,,,,,
XboxScreenshotCaption12,361,Text,,,,,,,,,,,
XboxScreenshotCaption13,362,Text,,,,,,,,,,,
XboxScreenshotCaption14,363,Text,,,,,,,,,,,
XboxScreenshotCaption15,364,Text,,,,,,,,,,,
XboxScreenshotCaption16,365,Text,,,,,,,,,,,
XboxScreenshotCaption17,366,Text,,,,,,,,,,,
XboxScreenshotCaption18,367,Text,,,,,,,,,,,
XboxScreenshotCaption19,368,Text,,,,,,,,,,,
XboxScreenshotCaption20,369,Text,,,,,,,,,,,
XboxScreenshotCaption21,370,Text,,,,,,,,,,,
XboxScreenshotCaption22,371,Text,,,,,,,,,,,
XboxScreenshotCaption23,372,Text,,,,,,,,,,,
XboxScreenshotCaption24,373,Text,,,,,,,,,,,
XboxScreenshotCaption25,374,Text,,,,,,,,,,,
XboxScreenshotCaption26,375,Text,,,,,,,,,,,
XboxScreenshotCaption27,376,Text,,,,,,,,,,,
XboxScreenshotCaption28,377,Text,,,,,,,,,,,
XboxScreenshotCaption29,378,Text,,,,,,,,,,,
XboxScreenshotCaption30,379,Text,,,,,,,,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,,,,,,,,,,
HolographicScreenshotCaption1,450,Text,,,,,,,,,,,
HolographicScreenshotCaption2,451,Text,,,,,,,,,,,
HolographicScreenshotCaption3,452,Text,,,,,,,,,,,
HolographicScreenshotCaption4,453,Text,,,,,,,,,,,
HolographicScreenshotCaption5,454,Text,,,,,,,,,,,
HolographicScreenshotCaption6,455,Text,,,,,,,,,,,
HolographicScreenshotCaption7,456,Text,,,,,,,,,,,
HolographicScreenshotCaption8,457,Text,,,,,,,,,,,
HolographicScreenshotCaption9,458,Text,,,,,,,,,,,
HolographicScreenshotCaption10,459,Text,,,,,,,,,,,
HolographicScreenshotCaption11,460,Text,,,,,,,,,,,
HolographicScreenshotCaption12,461,Text,,,,,,,,,,,
HolographicScreenshotCaption13,462,Text,,,,,,,,,,,
HolographicScreenshotCaption14,463,Text,,,,,,,,,,,
HolographicScreenshotCaption15,464,Text,,,,,,,,,,,
HolographicScreenshotCaption16,465,Text,,,,,,,,,,,
HolographicScreenshotCaption17,466,Text,,,,,,,,,,,
HolographicScreenshotCaption18,467,Text,,,,,,,,,,,
HolographicScreenshotCaption19,468,Text,,,,,,,,,,,
HolographicScreenshotCaption20,469,Text,,,,,,,,,,,
HolographicScreenshotCaption21,470,Text,,,,,,,,,,,
HolographicScreenshotCaption22,471,Text,,,,,,,,,,,
HolographicScreenshotCaption23,472,Text,,,,,,,,,,,
HolographicScreenshotCaption24,473,Text,,,,,,,,,,,
HolographicScreenshotCaption25,474,Text,,,,,,,,,,,
