Field,ID,Type (Type),default,en-us,en,ru,ru-ru,kk-kz,de-de,it-it,tg-cyrl-tj,uz-latn-uz,fr-fr,es-es,pt-br,pt-pt
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023868723/listingassets/3068382908312635485,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869582/listingassets/3068382908312635485,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869590/listingassets/3008073026430525780,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024123359/listingassets/3008073026430525780,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380166/listingassets/3014950270104765545,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380168/listingassets/3014666515385241919,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380106/listingassets/3010345556432560405,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380108/listingassets/3050233216702929387,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380618/listingassets/3000875296329623936,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380616/listingassets/3030415032434762952,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026548166/listingassets/3023273049004117206,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547898/listingassets/3001504018058264057,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547906/listingassets/3028851681290415789
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023868723/listingassets/3005072585543672683,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869582/listingassets/3005072585543672683,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869590/listingassets/3058295317532803816,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024123359/listingassets/3054575312746649852,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380166/listingassets/3023385518156092254,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380168/listingassets/3057069878045589456,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380106/listingassets/3047039538537435735,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380108/listingassets/3022787786080409691,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380618/listingassets/3008922608449727319,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380616/listingassets/3023095245672252128,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026548166/listingassets/3020451484238649558,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547898/listingassets/3023246580061271472,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547906/listingassets/3055834759243664122
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023868723/listingassets/3035271449724032142,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869582/listingassets/3023474979634672708,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869590/listingassets/3054575312746649852,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024123359/listingassets/3058295317532803816,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380166/listingassets/3045594757026952251,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380168/listingassets/3008062102714306667,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380106/listingassets/3059235129891874578,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380108/listingassets/3058838818802618157,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380618/listingassets/3068959347699117734,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380616/listingassets/3067587157004040098,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026548166/listingassets/3000210100366004136,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547898/listingassets/3064252680038539002,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547906/listingassets/3024774555090544525
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023868723/listingassets/3023474979634672708,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869582/listingassets/3035271449724032142,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869590/listingassets/3041499872950615424,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024123359/listingassets/3041499872950615424,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380166/listingassets/3001446189279257803,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380168/listingassets/3031203102423051689,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380106/listingassets/3066818102598516643,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380108/listingassets/3032061060198378695,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380618/listingassets/3046025967547359078,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380616/listingassets/3051801016283319690,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026548166/listingassets/3068909908323242851,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547898/listingassets/3050064064551070998,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547906/listingassets/3067771901000509771
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023868723/listingassets/3039772590664367412,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869582/listingassets/3039772590664367412,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700023869590/listingassets/3061249597818129219,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024123359/listingassets/3061249597818129219,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380166/listingassets/3043760567580435995,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380168/listingassets/3010559966984799696,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380106/listingassets/3025601450603199330,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380108/listingassets/3016828764151669578,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380618/listingassets/3064355479968457689,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700024380616/listingassets/3056640202661476039,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026548166/listingassets/3007241477866703704,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547898/listingassets/3034605051208312299,https://developer.microsoft.com/en-us/dashboard/apps/9NDQ3NQ5M354/submissions/1152921505701788170/listings/1152922700026547906/listingassets/3062914319347120961
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot11,110,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot12,111,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot13,112,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot14,113,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot15,114,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot16,115,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot17,116,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot18,117,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot19,118,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot20,119,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot21,120,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot22,121,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot23,122,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot24,123,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot25,124,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot26,125,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot27,126,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot28,127,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot29,128,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshot30,129,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
DesktopScreenshotCaption1,150,Text,,Open a local folder or Git repository,Open a local folder or Git repository,Открытие локальной папки или Git-репозитория,Открытие локальной папки или Git-репозитория,Жергілікті буманы немесе Git репозиторийін ашу,Lokalen Ordner oder Git-Repository öffnen,Apri una cartella locale o un repository Git,Кушодани ҷузвдони маҳаллӣ ё репозитории Git,"Istisnolar, fayl turlari, ildiz papkalar va Git rejimini boshqarish",Ouvrir un dossier local ou un dépôt Git,Abre una carpeta local o un repositorio Git,Abra uma pasta local ou um repositório Git,Abra uma pasta local ou um repositório Git
DesktopScreenshotCaption2,151,Text,,Explore the project tree and choose exactly what to include,Explore the project tree and choose exactly what to include,Просмотр дерева проекта и точный выбор файлов,Предпросмотр структуры и содержимого перед экспортом,"Жоба ағашын қарап, қажетті файлдарды дәл таңдау",Projektstruktur und Dateiinhalte vor dem Export prüfen,Esplora l’albero e scegli con precisione i file,Дидани дарахти лоиҳа ва интихоби дақиқи файлҳо,Lokal papka yoki Git repozitoriyasini ochish,Explorer l’arborescence et choisir précisément les fichiers,Explora el árbol y elige con precisión los archivos,Explore a árvore e escolha exatamente o que incluir,Explore a árvore e escolha exatamente o que incluir
DesktopScreenshotCaption3,152,Text,,Filter large projects and inspect the resulting context,Preview project structure and file contents before export,Предпросмотр структуры и содержимого перед экспортом,Просмотр дерева проекта и точный выбор файлов,Экспорт алдында құрылым мен файл мазмұнын тексеру,Große Projekte filtern und den Kontext kontrollieren,Controlla struttura e contenuto prima dell’esportazione,Санҷиши сохтор ва мундариҷа пеш аз содирот,Loyiha daraxtini ko‘rish va fayllarni aniq tanlash,Vérifier la structure et le contenu avant l’export,Comprueba la estructura y el contenido antes de exportar,Confira a estrutura e os arquivos antes de exportar,Verifique a estrutura e os ficheiros antes de exportar
DesktopScreenshotCaption4,153,Text,,Preview project structure and file contents before export,Filter large projects and inspect the resulting context,Фильтрация больших проектов и проверка контекста,Фильтрация больших проектов и проверка контекста,"Ерекшеліктерді, файл түрлерін, түбірлік бумаларды және Git режимін басқару",Projektbaum erkunden und Dateien präzise auswählen,Filtra i progetti grandi e verifica il contesto ottenuto,"Идораи истисноҳо, навъҳои файл, ҷузвдонҳои решавӣ ва реҷаи Git",Katta loyihalarni filtrlash va tayyor kontekstni ko‘rish,Filtrer les grands projets et contrôler le contexte obtenu,Filtra proyectos grandes y revisa el contexto resultante,Filtre projetos grandes e revise o contexto gerado,Filtre projetos grandes e reveja o contexto gerado
DesktopScreenshotCaption5,154,Text,,"Control exclusions, file types, top-level folders, and Git mode","Control exclusions, file types, top-level folders, and Git mode","Настройка исключений, расширений, корневых папок и Git-режима","Настройка исключений, расширений, корневых папок и Git-режима",Үлкен жобаларды сүзу және дайын контексті қарау,"Ausschlüsse, Dateitypen, Stammordner und Git-Modus steuern","Gestisci esclusioni, tipi di file, cartelle radice e modalità Git",Филтр кардани лоиҳаҳои калон ва санҷиши контекст,Eksportdan oldin tuzilma va fayl mazmunini tekshirish,"Gérer exclusions, types de fichiers, dossiers racines et mode Git","Controla exclusiones, tipos de archivo, carpetas raíz y modo Git","Controle exclusões, tipos de arquivo, pastas raiz e modo Git","Controle exclusões, tipos de ficheiro, pastas raiz e modo Git"
DesktopScreenshotCaption6,155,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption7,156,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption8,157,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption9,158,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption10,159,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption11,160,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption12,161,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption13,162,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption14,163,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption15,164,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption16,165,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption17,166,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption18,167,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption19,168,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption20,169,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption21,170,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption22,171,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption23,172,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption24,173,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption25,174,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption26,175,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption27,176,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption28,177,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption29,178,Text,,,,,,,,,,,,,,
DesktopScreenshotCaption30,179,Text,,,,,,,,,,,,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot11,210,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot12,211,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot13,212,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot14,213,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot15,214,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot16,215,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot17,216,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot18,217,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot19,218,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot20,219,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot21,220,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot22,221,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot23,222,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot24,223,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot25,224,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot26,225,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot27,226,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot28,227,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot29,228,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshot30,229,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
MobileScreenshotCaption1,250,Text,,,,,,,,,,,,,,
MobileScreenshotCaption2,251,Text,,,,,,,,,,,,,,
MobileScreenshotCaption3,252,Text,,,,,,,,,,,,,,
MobileScreenshotCaption4,253,Text,,,,,,,,,,,,,,
MobileScreenshotCaption5,254,Text,,,,,,,,,,,,,,
MobileScreenshotCaption6,255,Text,,,,,,,,,,,,,,
MobileScreenshotCaption7,256,Text,,,,,,,,,,,,,,
MobileScreenshotCaption8,257,Text,,,,,,,,,,,,,,
MobileScreenshotCaption9,258,Text,,,,,,,,,,,,,,
MobileScreenshotCaption10,259,Text,,,,,,,,,,,,,,
MobileScreenshotCaption11,260,Text,,,,,,,,,,,,,,
MobileScreenshotCaption12,261,Text,,,,,,,,,,,,,,
MobileScreenshotCaption13,262,Text,,,,,,,,,,,,,,
MobileScreenshotCaption14,263,Text,,,,,,,,,,,,,,
MobileScreenshotCaption15,264,Text,,,,,,,,,,,,,,
MobileScreenshotCaption16,265,Text,,,,,,,,,,,,,,
MobileScreenshotCaption17,266,Text,,,,,,,,,,,,,,
MobileScreenshotCaption18,267,Text,,,,,,,,,,,,,,
MobileScreenshotCaption19,268,Text,,,,,,,,,,,,,,
MobileScreenshotCaption20,269,Text,,,,,,,,,,,,,,
MobileScreenshotCaption21,270,Text,,,,,,,,,,,,,,
MobileScreenshotCaption22,271,Text,,,,,,,,,,,,,,
MobileScreenshotCaption23,272,Text,,,,,,,,,,,,,,
MobileScreenshotCaption24,273,Text,,,,,,,,,,,,,,
MobileScreenshotCaption25,274,Text,,,,,,,,,,,,,,
MobileScreenshotCaption26,275,Text,,,,,,,,,,,,,,
MobileScreenshotCaption27,276,Text,,,,,,,,,,,,,,
MobileScreenshotCaption28,277,Text,,,,,,,,,,,,,,
MobileScreenshotCaption29,278,Text,,,,,,,,,,,,,,
MobileScreenshotCaption30,279,Text,,,,,,,,,,,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot11,310,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot12,311,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot13,312,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot14,313,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot15,314,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot16,315,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot17,316,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot18,317,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot19,318,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot20,319,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot21,320,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot22,321,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
XboxScreenshotCaption1,350,Text,,,,,,,,,,,,,,
XboxScreenshotCaption2,351,Text,,,,,,,,,,,,,,
XboxScreenshotCaption3,352,Text,,,,,,,,,,,,,,
XboxScreenshotCaption4,353,Text,,,,,,,,,,,,,,
XboxScreenshotCaption5,354,Text,,,,,,,,,,,,,,
XboxScreenshotCaption6,355,Text,,,,,,,,,,,,,,
XboxScreenshotCaption7,356,Text,,,,,,,,,,,,,,
XboxScreenshotCaption8,357,Text,,,,,,,,,,,,,,
XboxScreenshotCaption9,358,Text,,,,,,,,,,,,,,
XboxScreenshotCaption10,359,Text,,,,,,,,,,,,,,
XboxScreenshotCaption11,360,Text,,,,,,,,,,,,,,
XboxScreenshotCaption12,361,Text,,,,,,,,,,,,,,
XboxScreenshotCaption13,362,Text,,,,,,,,,,,,,,
XboxScreenshotCaption14,363,Text,,,,,,,,,,,,,,
XboxScreenshotCaption15,364,Text,,,,,,,,,,,,,,
XboxScreenshotCaption16,365,Text,,,,,,,,,,,,,,
XboxScreenshotCaption17,366,Text,,,,,,,,,,,,,,
XboxScreenshotCaption18,367,Text,,,,,,,,,,,,,,
XboxScreenshotCaption19,368,Text,,,,,,,,,,,,,,
XboxScreenshotCaption20,369,Text,,,,,,,,,,,,,,
XboxScreenshotCaption21,370,Text,,,,,,,,,,,,,,
XboxScreenshotCaption22,371,Text,,,,,,,,,,,,,,
XboxScreenshotCaption23,372,Text,,,,,,,,,,,,,,
XboxScreenshotCaption24,373,Text,,,,,,,,,,,,,,
XboxScreenshotCaption25,374,Text,,,,,,,,,,,,,,
XboxScreenshotCaption26,375,Text,,,,,,,,,,,,,,
XboxScreenshotCaption27,376,Text,,,,,,,,,,,,,,
XboxScreenshotCaption28,377,Text,,,,,,,,,,,,,,
XboxScreenshotCaption29,378,Text,,,,,,,,,,,,,,
XboxScreenshotCaption30,379,Text,,,,,,,,,,,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,
